"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 23:31:46 GMT 2022","Tue Sep 20 23:31:46 GMT 2022","190","","Validar Profiles","","","","Criar Formação Academica ",""
"passed","Tue Sep 20 23:31:35 GMT 2022","Tue Sep 20 23:31:35 GMT 2022","198","","Testes de Criação de Postagens","","","","[POST] - Criar uma postagem",""
"passed","Tue Sep 20 23:31:50 GMT 2022","Tue Sep 20 23:31:50 GMT 2022","207","","Deleta usuário cadastrado","","","","[DELETE] - Deve remover um usuário cadastrado através do seu Token",""
"passed","Tue Sep 20 23:31:04 GMT 2022","Tue Sep 20 23:31:14 GMT 2022","10546","Devo realizar login com usuário e senha válidos","Devo validar o cadastro de Perfil com Sucesso","","","","Dado que clico no botão Criar Perfil",""
"passed","Tue Sep 20 23:31:36 GMT 2022","Tue Sep 20 23:31:37 GMT 2022","207","","Teste de Exclusão","","","","[DELETE] - Deletar uma postagem uma postagem por ID",""
"passed","Tue Sep 20 23:31:45 GMT 2022","Tue Sep 20 23:31:46 GMT 2022","255","","Validar Profiles","","","","Criar Experiência Profissional ",""
"passed","Tue Sep 20 23:31:31 GMT 2022","Tue Sep 20 23:31:31 GMT 2022","48","Validar página perfil","Dado que acesso a tela de login","","","","Então devo visualizar a tela login",""
"passed","Tue Sep 20 23:31:36 GMT 2022","Tue Sep 20 23:31:36 GMT 2022","212","","Testes de Criação de Postagens","","","","[GET] - Consultar uma postagem por ID",""
"passed","Tue Sep 20 23:31:37 GMT 2022","Tue Sep 20 23:31:37 GMT 2022","189","","Teste de Exclusão","","","","[DELETE] - Deletar uma postagem uma postagem por ID inexistente",""
"passed","Tue Sep 20 23:31:35 GMT 2022","Tue Sep 20 23:31:36 GMT 2022","838","","Testes de Criação de Postagens","","","","[GET] - Consultar uma postagem",""
"passed","Tue Sep 20 23:31:41 GMT 2022","Tue Sep 20 23:31:41 GMT 2022","48","Validar a home","Dado que acesso a home","","","","Então devo visualizar a logo e ser direcionado para conexaoqa.herokuapp.com",""
"passed","Tue Sep 20 23:31:53 GMT 2022","Tue Sep 20 23:31:54 GMT 2022","190","","","","","","[POST] - Teste de Autenticação",""
"passed","Tue Sep 20 23:31:22 GMT 2022","Tue Sep 20 23:31:24 GMT 2022","2174","Validar página perfil","Devo validar um registro realizado com sucesso","","","","Dado que realizo um registro com sucesso",""
"passed","Tue Sep 20 23:31:41 GMT 2022","Tue Sep 20 23:31:41 GMT 2022","44","Validar a home","Dado que acesso a home","","","","Clicar no Botão Criar Perfil",""
